epoch,iou_metric,learning_rate,loss,val_iou_metric,val_loss
0,0.7912883162498474,9.999999747378752e-05,0.8629557490348816,0.7738845348358154,0.8882302045822144
1,0.8236393928527832,9.999999747378752e-05,0.6844053864479065,0.8653924465179443,0.48910123109817505
2,0.8406352400779724,9.999999747378752e-05,0.5983381271362305,0.8852555751800537,0.4181804060935974
3,0.8583446145057678,9.999999747378752e-05,0.5250470638275146,0.9080482721328735,0.33741164207458496
4,0.876448392868042,9.999999747378752e-05,0.4553082287311554,0.9218246936798096,0.2894047200679779
5,0.8822804093360901,9.999999747378752e-05,0.4254184663295746,0.9087116122245789,0.3066072165966034
6,0.8914411664009094,9.999999747378752e-05,0.3881193697452545,0.9188684225082397,0.286912202835083
7,0.9015403985977173,9.999999747378752e-05,0.3443863093852997,0.9242638349533081,0.26350077986717224
8,0.9094964265823364,9.999999747378752e-05,0.31236690282821655,0.9272662997245789,0.24220256507396698
9,0.9065276980400085,9.999999747378752e-05,0.32393455505371094,0.9291887879371643,0.22893789410591125
10,0.9164068698883057,9.999999747378752e-05,0.2854940593242645,0.936333954334259,0.20600630342960358
11,0.9167367219924927,9.999999747378752e-05,0.28463342785835266,0.9391825199127197,0.19676361978054047
12,0.920451819896698,9.999999747378752e-05,0.26782968640327454,0.9408113956451416,0.19074822962284088
13,0.92335444688797,9.999999747378752e-05,0.25931796431541443,0.9390919804573059,0.18905165791511536
14,0.9270899891853333,9.999999747378752e-05,0.24608799815177917,0.92223060131073,0.2420390397310257
15,0.9261462688446045,9.999999747378752e-05,0.2477910965681076,0.9440085291862488,0.1783624142408371
16,0.9273118376731873,9.999999747378752e-05,0.24403078854084015,0.9453293681144714,0.16925761103630066
17,0.9318143129348755,9.999999747378752e-05,0.22769199311733246,0.9464625716209412,0.16718412935733795
18,0.9295715689659119,9.999999747378752e-05,0.23308822512626648,0.9400352239608765,0.18496811389923096
19,0.9311889410018921,9.999999747378752e-05,0.22931651771068573,0.9450172185897827,0.16867005825042725
20,0.9332352876663208,9.999999747378752e-05,0.22124168276786804,0.9487888216972351,0.15690140426158905
21,0.9356074929237366,9.999999747378752e-05,0.21311940252780914,0.9520571827888489,0.146705761551857
22,0.934772789478302,9.999999747378752e-05,0.21677665412425995,0.9448421001434326,0.169134259223938
23,0.9392146468162537,9.999999747378752e-05,0.20088733732700348,0.9407702088356018,0.18208906054496765
24,0.9410661458969116,9.999999747378752e-05,0.19417256116867065,0.9345316886901855,0.20306482911109924
25,0.9393203854560852,4.999999873689376e-05,0.1975528746843338,0.9478157758712769,0.16029532253742218
26,0.940268874168396,4.999999873689376e-05,0.1950935423374176,0.9493447542190552,0.15410171449184418
27,0.940382719039917,4.999999873689376e-05,0.19572502374649048,0.9541124701499939,0.14014804363250732
28,0.9403908848762512,4.999999873689376e-05,0.19568507373332977,0.9530527591705322,0.1432734727859497
29,0.9422392249107361,4.999999873689376e-05,0.1882227063179016,0.9520406126976013,0.14493690431118011
30,0.9419968724250793,4.999999873689376e-05,0.18943223357200623,0.9550749659538269,0.13810913264751434
31,0.3316027820110321,4.999999873689376e-05,nan,3.679183346871895e-11,nan
32,4.920648610795553e-11,4.999999873689376e-05,nan,3.679183346871895e-11,nan
33,5.0572442067409185e-11,4.999999873689376e-05,nan,3.679183346871895e-11,nan
34,5.67965917352975e-11,2.499999936844688e-05,nan,3.679183346871895e-11,nan
35,5.097299318745918e-11,2.499999936844688e-05,nan,3.679183346871895e-11,nan
36,5.060475649631968e-11,2.499999936844688e-05,nan,3.679183346871895e-11,nan
37,4.987689428137543e-11,1.249999968422344e-05,nan,3.679183346871895e-11,nan
